species	methodclass	classunique	classintergenic
human	braker	0.12276586237712243	0.3587280309800417
human	cgp	0.9229760712148616	0.9457652303120356
human	lift	0.016094251301740914	0.09824856677010467
human	maker	0.019796257495845675	0.1463044577703923
human	scal	0.027949716035990044	0.15066045561865868
human	stie	0.011456509048453006	0.09106830122591944
athaliana	braker	0.08980610481858323	0.18214628527548474
athaliana	cgp	0.30477366981381804	0.3693343921880055
athaliana	lift	0.012327912889144721	0.036647958938936055
athaliana	maker	0.004333694474539545	0.03122229882793263
athaliana	scal	0.00024260067928190198	0.011098981077147015
athaliana	stie	0.00031735956839098697	0.009838146620120596
chicken	braker	0.10245138216228299	0.18396542731540125
chicken	cgp	0.7623131003069611	0.7913654817308644
chicken	lift	0.002114368092263335	0.012301777991350312
chicken	maker	0.03220518754218494	0.05158615369781121
chicken	scal	0.02002608047690015	0.09305141579731743
chicken	stie	0.0040296231757786976	0.04127641036811152
dmel	braker	0.12446758163748226	0.16620918125887363
dmel	cgp	0.46530470513339894	0.48735459227964584
dmel	lift	0.006538120567375886	0.01551418439716312
dmel	maker	0.002498126405196103	0.009118161378965775
dmel	scal	0.006929406669553919	0.03017179154034936
dmel	stie	0.009770471464019851	0.03008684863523573
zmays	braker	0.6877645915747103	0.7487681310292178
zmays	cgp	0.2814988464687058	0.4500260474808365
zmays	lift	0.012231770970633205	0.050877840459745874
zmays	maker	0.051128200794388574	0.13639820840023661
zmays	scal	0.029399514057618883	0.16782367233599443
zmays	stie	0.030054644808743168	0.16943393582737845
mouse	braker	0.18323801143862736	0.31838979322481303
mouse	cgp	0.7271042920360757	0.7901756320149448
mouse	lift	0.01441713579568859	0.02478374296306467
mouse	scal	0.055616	0.19904
mouse	stie	0.006359158083296014	0.07872816838334079